filing_date,component,url,ownerOrg,name,cik
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/1575828/000143774925005059/fi20241231_10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Energy & Transportation,EXPRO GROUP HOLDINGS N.V.,1575828
2025-03-20,domestic,https://www.sec.gov/Archives/edgar/data/1855509/000173112225000412/e6435_10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,"Twin Vee PowerCats, Co.",1855509
2025-03-17,domestic,https://www.sec.gov/Archives/edgar/data/1500435/000162828025013046/gpro-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Industrial Applications and Services,"GoPro, Inc.",1500435
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1490161/000095017025045749/sowg-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,Sow Good Inc.,1490161
2025-03-17,domestic,https://www.sec.gov/Archives/edgar/data/921299/000095017025040280/fgen-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Life Sciences,FIBROGEN INC,921299
2024-12-17,domestic,https://www.sec.gov/Archives/edgar/data/1500198/000121390024109524/ea0224514-10k_neuroon.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Industrial Applications and Services,NEUROONE MEDICAL TECHNOLOGIES Corp,1500198
2025-02-20,domestic,https://www.sec.gov/Archives/edgar/data/1065696/000106569625000015/lkq-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,LKQ CORP,1065696
2025-03-03,domestic,https://www.sec.gov/Archives/edgar/data/1395937/000095017025030394/sndx-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Life Sciences,Syndax Pharmaceuticals Inc,1395937
2025-02-26,domestic,https://www.sec.gov/Archives/edgar/data/849395/000162828025008179/crh-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,CRH PUBLIC LTD CO,849395
2025-03-03,domestic,https://www.sec.gov/Archives/edgar/data/1042893/000095017025031003/invx-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Energy & Transportation,"Innovex International, Inc.",1042893
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/1274494/000127449425000010/fslr-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,"FIRST SOLAR, INC.",1274494
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/1581760/000158176025000008/lifx-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Technology,"Life360, Inc.",1581760
2025-03-19,domestic,https://www.sec.gov/Archives/edgar/data/1604950/000095017025042159/scph-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Life Sciences,scPharmaceuticals Inc.,1604950
2025-01-31,domestic,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/intc-20241228.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,INTEL CORP,50863
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/1743745/000149315225011057/form10-k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,"Greenlane Holdings, Inc.",1743745
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/1407973/000095017025045214/sonx-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Industrial Applications and Services,"Sonendo, Inc.",1407973
2025-03-05,domestic,https://www.sec.gov/Archives/edgar/data/1828962/000182896225000039/crct-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Technology,"Cricut, Inc.",1828962
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/1494650/000149465025000064/optn-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Life Sciences,"OptiNose, Inc.",1494650
2025-03-03,domestic,https://www.sec.gov/Archives/edgar/data/1297184/000129718425000008/amph-20241231x10k.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Life Sciences,"Amphastar Pharmaceuticals, Inc.",1297184
2025-02-21,domestic,https://www.sec.gov/Archives/edgar/data/1438533/000143853325000010/tvtx-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Life Sciences,"Travere Therapeutics, Inc.",1438533
2025-02-25,domestic,https://www.sec.gov/Archives/edgar/data/1649094/000164909425000028/pcvx-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Life Sciences,"Vaxcyte, Inc.",1649094
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/1345126/000134512625000015/codi-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,Compass Diversified Holdings,1345126
2025-02-27,domestic,https://www.sec.gov/Archives/edgar/data/1345122/000134512625000015/codi-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,Compass Group Diversified Holdings LLC,1345122
2025-03-07,domestic,https://www.sec.gov/Archives/edgar/data/1860424/000095017025035197/ck0001860424-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,,Onex Direct Lending BDC Fund,1860424
2025-03-13,domestic,https://www.sec.gov/Archives/edgar/data/2008861/000200886125000007/ndoi-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Life Sciences,Endo LP,2008861
2025-03-20,international,https://www.sec.gov/Archives/edgar/data/1709048/000170904825000024/gfs-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,GLOBALFOUNDRIES Inc.,1709048
2025-01-27,international,https://www.sec.gov/Archives/edgar/data/1687451/000141057825000055/zkin-20240930x20f.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,"ZK International Group Co., Ltd.",1687451
2025-03-04,international,https://www.sec.gov/Archives/edgar/data/1858985/000185898525000003/onholdingag-20241231.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Manufacturing,On Holding AG,1858985
2025-01-28,international,https://www.sec.gov/Archives/edgar/data/1969863/000121390025007523/ea0227376-20f_sugroup.htm#:~:text=Supplier%20Concentration&text=Single-source%20supplier%20risk,Trade & Services,SU Group Holdings Ltd,1969863
