"zip_code","count"
"10271","163"
"10022","74"
"60606","70"
"10036","62"
"10017","60"
"10019","59"
"77002","44"
"10018","38"
"06902","38"
"10001","37"
"92121","37"
"19103","33"
"94080","33"
"19809","31"
"02109","28"
"77056","26"
"75201","25"
"10010","25"
"10005","24"
"33401","22"
"02116","22"
"20814","21"
"33131","21"
"60515","20"
"80202","20"
"94104","20"
"22102","20"
"92618","20"
"02210","19"
"94105","19"
"10016","18"
"92130","18"
"30309","17"
"02110","17"
"80112","16"
"02451","16"
"77024","16"
"19087","16"
"33139","16"
"02142","16"
"20190","15"
"33431","15"
"78701","15"
"94025","15"
"10179","15"
"06830","14"
"80111","14"
"94538","14"
"10580","14"
"10013","14"
"95054","13"
"19104","13"
"94403","13"
"10011","13"
"19801","13"
"77380","13"
"10007","13"
"63105","12"
"80237","12"
"33487","12"
"01301","12"
"95134","12"
"94107","12"
"92660","11"
"89118","11"
"75039","11"
"07054","11"
"92614","11"
"94065","11"
"01803","11"
"20850","11"
"77042","11"
"37027","11"
"33607","11"
"02139","11"
"80021","10"
"75254","10"
"30339","10"
"94111","10"
"19355","10"
"33301","10"
"08540","10"
"30328","10"
"10003","10"
"33134","9"
"75024","9"
"75240","9"
"90025","9"
"94608","9"
"95131","9"
"89144","9"
"90212","9"
"60563","9"
"02472","9"
"92037","9"
"94596","9"
"60601","8"
"75225","8"
"30308","8"
"90067","8"
"37203","8"
"95110","8"
"32801","8"
"92127","8"
"76102","8"
"10004","8"
"33130","8"
"10104","8"
"85281","8"
"94085","8"
"94612","8"
"28203","8"
"85260","8"
"10154","8"
"85258","8"
"94063","8"
"10105","8"
"33602","8"
"02199","7"
"60654","7"
"45202","7"
"19901","7"
"30326","7"
"45246","7"
"90245","7"
"75219","7"
"60607","7"
"79701","7"
"11747","7"
"28277","7"
"28202","7"
"02141","7"
"02453","7"
"30305","7"
"89501","7"
"46032","7"
"94043","7"
"78746","7"
"94404","7"
"89135","7"
"10281","7"
"07102","7"
"77079","7"
"90017","7"
"33432","7"
"94103","7"
"19808","7"
"01887","6"
"06484","6"
"77046","6"
"75034","6"
"94304","6"
"11753","6"
"19428","6"
"55344","6"
"01810","6"
"75234","6"
"66211","6"
"55416","6"
"06901","6"
"19406","6"
"80203","6"
"10286","6"
"92612","6"
"84043","6"
"85016","6"
"91101","6"
"92008","6"
"91361","6"
"89502","6"
"02458","6"
"33477","6"
"10065","6"
"02421","6"
"10118","6"
"11354","6"
"60143","6"
"80301","6"
"94301","6"
"02494","6"
"94306","6"
"28288","6"
"07932","6"
"94005","6"
"89511","5"
"78758","5"
"32789","5"
"96813","5"
"20852","5"
"33137","5"
"60661","5"
"77381","5"
"60611","5"
"10577","5"
"22203","5"
"22209","5"
"02903","5"
"90071","5"
"01701","5"
"07030","5"
"32202","5"
"75219-4518","5"
"10119","5"
"75019","5"
"77478","5"
"27609","5"
"32963","5"
"89169","5"
"37067","5"
"89701","5"
"60062","5"
"11530","5"
"10591","5"
"27703","5"
"19809-3700","5"
"93117","5"
"94588","5"
"90404","5"
"10014","5"
"06840","5"
"92101","5"
"92122","5"
"92656","5"
"89102","5"
"80027","5"
"89451","5"
"10170","5"
"89101","5"
"82801","5"
"06510","5"
"75204","5"
"60187","5"
"85251","5"
"94108","5"
"10020","5"
"76051","5"
"94303","5"
"07652","4"
"92617","4"
"07960","4"
"60015","4"
"80401","4"
"92626","4"
"46268","4"
"55402","4"
"15317","4"
"15219","4"
"32256","4"
"75038","4"
"53212","4"
"32804","4"
"90010","4"
"77019","4"
"33701","4"
"60173","4"
"06851","4"
"01821","4"
"23452","4"
"33408","4"
"89119","4"
"95014","4"
"75074","4"
"33133","4"
"92131","4"
"19341","4"
"92123","4"
"98104","4"
"80228","4"
"75056","4"
"33716","4"
"85288","4"
"46204","4"
"95035","4"
"89128","4"
"44122","4"
"89109","4"
"10022-6225","4"
"75247","4"
"33301-1923","4"
"89120","4"
"89052","4"
"94070","4"
"77389","4"
"01915","4"
"23060","4"
"33132","4"
"10282","4"
"95050","4"
"34103","4"
"01730","4"
"75206","4"
"33126","4"
"10120","4"
"91355","4"
"98101","4"
"78738","4"
"30009","4"
"90405","4"
"82001","4"
"98109","4"
"10166","4"
"28217","4"
"27713","4"
"77027","4"
"78731","4"
"95032","4"
"07921","4"
"84111","4"
"06831","4"
"84098","4"
"19703","4"
"83702","4"
"01801","4"
"92075","4"
"94545","4"
"90703","4"
"78735","4"
"94040","4"
"11201","4"
"07302","4"
"90210","4"
"10167","4"
"46038","4"
"84101","4"
"72201","3"
"75001","3"
"43215","3"
"30319","3"
"22202","3"
"37214","3"
"85226","3"
"64106","3"
"43017","3"
"28036","3"
"38103","3"
"14203","3"
"48226","3"
"55113","3"
"84107","3"
"48084","3"
"77007","3"
"43082","3"
"53224","3"
"48034","3"
"21046","3"
"98052","3"
"58503","3"
"33324","3"
"60603","3"
"55401","3"
"75240-2620","3"
"28211","3"
"98660","3"
"98004","3"
"44124","3"
"91770","3"
"11101","3"
"10015","3"
"02114","3"
"76092","3"
"43219","3"
"11788","3"
"23230","3"
"85004","3"
"07728","3"
"19422","3"
"98121","3"
"22182","3"
"84121","3"
"85012","3"
"23219","3"
"33760","3"
"07632","3"
"94583","3"
"75080","3"
"91320","3"
"35242","3"
"07666","3"
"90024","3"
"37421","3"
"33609","3"
"35806","3"
"23454","3"
"02111","3"
"01720","3"
"48105","3"
"59715","3"
"90503","3"
"18940","3"
"78702","3"
"43228","3"
"33410","3"
"20037","3"
"53202","3"
"84095","3"
"74103","3"
"10012","3"
"77043","3"
"34240","3"
"84020","3"
"20004","3"
"60018","3"
"33309","3"
"91302","3"
"08873","3"
"48377","3"
"94158","3"
"57108","3"
"08512","3"
"85286","3"
"10169","3"
"33027","3"
"15203","3"
"15212","3"
"60523","3"
"94502","3"
"27701","3"
"68102","3"
"10153","3"
"77040","3"
"01752","3"
"20171","3"
"78756","3"
"02140","3"
"95008","3"
"78664","3"
"92081","3"
"20910","3"
"94010","3"
"90064","3"
"07059","3"
"27709","3"
"94089","3"
"85054","3"
"33180","3"
"15222","3"
"60602","3"
"94949","3"
"06511","3"
"50266","3"
"91436","3"
"95112","3"
"22030","3"
"08807","3"
"92707","3"
"07922","3"
"30097","3"
"91789","3"
"10151","3"
"08542","3"
"94506","3"
"33308","3"
"90266","3"
"20815","3"
"55121","3"
"92653","3"
"94041","3"
"78730","3"
"75205","3"
"68137","3"
"07901","3"
"48108","3"
"30341","3"
"94555","3"
"92694","3"
"77098","3"
"94114","3"
"06405","3"
"89123","3"
"33480","3"
"91367","3"
"02135","3"
"92821","3"
"84109","3"
"33156","3"
"32835","3"
"19805","3"
"33433","3"
"95113","3"
"33702","3"
"98011","3"
