"ownerOrg","count"
"07 Trade & Services","991"
"04 Manufacturing","948"
"06 Technology","909"
"03 Life Sciences","888"
"01 Energy & Transportation","823"
"02 Finance","738"
"08 Industrial Applications and Services","699"
"05 Real Estate & Construction","695"
"09 Crypto Assets","180"
"International Corp Fin","113"
"Office of Structured Finance","11"
