"sic","sicDescription","count"
"8888","Foreign Governments","74"
"3572","Computer Storage Devices","72"
"2750","Commercial Printing","71"
"3823","Industrial Instruments For Measurement, Display, and Control","69"
"5940","Retail-Miscellaneous Shopping Goods Stores","69"
"3825","Instruments For Meas & Testing of  Electricity & Elec Signals","67"
"8082","Services-Home Health Care Services","67"
"2810","Industrial Inorganic Chemicals","67"
"2086","Bottled & Canned Soft Drinks & Carbonated Waters","66"
"1520","General Bldg Contractors - Residential Bldgs","66"
"5047","Wholesale-Medical, Dental & Hospital Equipment & Supplies","66"
"6324","Hospital & Medical Service Plans","66"
"4100","Local & Suburban Transit & Interurban Hwy Passenger Trans","66"
"3670","Electronic Components & Accessories","65"
"2621","Paper Mills","64"
"1090","Miscellaneous Metal Ores","64"
"7830","Services-Motion Picture Theaters","64"
"7819","Services-Allied To Motion Picture Production","64"
"3651","Household Audio & Video Equipment","63"
"5311","Retail-Department Stores","62"
"7377","Services-Computer Rental & Leasing","62"
"4220","Public Warehousing & Storage","62"
"2000","Food and Kindred Products","62"
"3721","Aircraft","62"
"6159","Miscellaneous Business Credit Institution","61"
"4731","Arrangement of  Transportation of  Freight & Cargo","60"
"5013","Wholesale-Motor Vehicle Supplies & New Parts","59"
"3140","Footwear, (No Rubber)","59"
"5141","Wholesale-Groceries, General Line","59"
"4522","Air Transportation, Nonscheduled","59"
"2060","Sugar & Confectionery Products","58"
"5065","Wholesale-Electronic Parts & Equipment, NEC","58"
"4011","Railroads, Line-Haul Operating","57"
"3590","Misc Industrial & Commercial Machinery & Equipment","57"
"5621","Retail-Women's Clothing Stores","56"
"3460","Metal Forgings & Stampings","56"
"6519","Lessors of  Real Property, NEC","55"
"8050","Services-Nursing & Personal Care Facilities","54"
"2082","Malt Beverages","53"
"2050","Bakery Products","53"
"5531","Retail-Auto & Home Supply Stores","53"
"0700","Agricultural Services","53"
"3533","Oil & Gas Field Machinery & Equipment","53"
"5400","Retail-Food Stores","53"
"1600","Heavy Construction Other Than Bldg Const - Contractors","52"
"3585","Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip","51"
"7500","Services-Automotive Repair, Services & Parking","50"
"5600","Retail-Apparel & Accessory Stores","50"
"6351","Surety Insurance","50"
"2330","Women's, Misses':  and Juniors Outerwear","50"
"2741","Miscellaneous Publishing","50"
"3490","Miscellaneous Fabricated Metal Products","49"
"2650","Paperboard Containers & Boxes","49"
"2510","Household Furniture","49"
"3580","Refrigeration & Service Industry Machinery","49"
"7822","Services-Motion Picture & Video Tape Distribution","49"
"3672","Printed Circuit Boards","48"
"1731","Electrical Work","48"
"3080","Miscellaneous Plastics Products","48"
"2400","Lumber & Wood Products (No Furniture)","48"
"3944","Games, Toys & Children's Vehicles (No Dolls & Bicycles)","48"
"5172","Wholesale-Petroleum & Petroleum Products (No Bulk Stations)","47"
"1220","Silver Ores","47"
"7510","Services-Auto Rental & Leasing (No Drivers)","47"
"7381","Services-Detective, Guard & Armored Car Services","46"
"5412","Retail-Convenience Stores","46"
"5810","Retail-Eating & Drinking Places","46"
"3730","Ship & Boat Building & Repairing","45"
"2221","Broadwoven Fabric Mills, Man Made Fiber & Silk","45"
"2731","Books: Publishing or  Publishing & Printing","45"
"3652","Phonograph Records & Prerecorded Audio Tapes & Disks","45"
"4923","Natural Gas Transmisison & Distribution","44"
"3560","General Industrial Machinery & Equipment","44"
"3290","Abrasive, Asbestos & Misc Nonmetallic Mineral Prods","44"
"3569","General Industrial Machinery & Equipment, NEC","44"
"4610","Pipe Lines (No Natural Gas)","44"
"3510","Engines & Turbines","43"
"7320","Services-Consumer Credit Reporting, Collection Agencies","43"
"2200","Textile Mill Products","41"
"2040","Grain Mill Products","40"
"3861","Photographic Equipment & Supplies","40"
"2320","Men's & Boys' Furnishgs, Work Clothg, & Allied Garments","40"
"2111","Cigarettes","40"
"7350","Services-Miscellaneous Equipment Rental & Leasing","40"
"2840","Soap, Detergents, Cleang Preparations, Perfumes, Cosmetics","40"
"4941","Water Supply","39"
"2015","Poultry Slaughtering and Processing","39"
"5700","Retail-Home Furniture, Furnishings & Equipment Stores","39"
"2020","Dairy Products","39"
"2851","Paints, Varnishes, Lacquers, Enamels & Allied Prods","39"
"3751","Motorcycles, Bicycles & Parts","39"
"3310","Steel Works, Blast Furnaces & Rolling & Finishing Mills","39"
"4822","Telegraph & Other Message Communications","39"
"5160","Wholesale-Chemicals & Allied Products","38"
"3523","Farm Machinery & Equipment","38"
"4991","Cogeneration Services & Small Power Producers","38"
"5010","Wholesale-Motor Vehicles & Motor Vehicle Parts & Supplies","38"
"7997","Services-Membership Sports & Recreation Clubs","38"
"3621","Motors & Generators","37"
