"sic","sicDescription","count"
"3560","General Industrial Machinery & Equipment","9"
"3827","Optical Instruments & Lenses","9"
"5172","Wholesale-Petroleum & Petroleum Products (No Bulk Stations)","9"
"3585","Air-Cond & Warm Air Heatg Equip & Comm & Indl Refrig Equip","9"
"5045","Wholesale-Computers & Peripheral Equipment & Software","9"
"0700","Agricultural Services","9"
"6552","Land Subdividers & Developers (No Cemeteries)","8"
"1623","Water, Sewer, Pipeline, Comm & Power Line Construction","8"
"3531","Construction Machinery & Equip","8"
"8082","Services-Home Health Care Services","8"
"5190","Wholesale-Miscellaneous Nondurable Goods","8"
"3670","Electronic Components & Accessories","8"
"3730","Ship & Boat Building & Repairing","8"
"6351","Surety Insurance","8"
"5140","Wholesale-Groceries & Related Products","8"
"3640","Electric Lighting & Wiring Equipment","8"
"5141","Wholesale-Groceries, General Line","8"
"3851","Ophthalmic Goods","8"
"3571","Electronic Computers","8"
"3751","Motorcycles, Bicycles & Parts","8"
"5531","Retail-Auto & Home Supply Stores","8"
"4610","Pipe Lines (No Natural Gas)","8"
"4210","Trucking & Courier Services (No Air)","8"
"5960","Retail-Nonstore Retailers","8"
"2750","Commercial Printing","8"
"3561","Pumps & Pumping Equipment","7"
"7510","Services-Auto Rental & Leasing (No Drivers)","7"
"3861","Photographic Equipment & Supplies","7"
"6512","Opeators of  Nonresidential Buildings","7"
"4923","Natural Gas Transmisison & Distribution","7"
"3600","Electronic & Other Electrical Equipment (No Computer Equip)","7"
"3621","Motors & Generators","7"
"3310","Steel Works, Blast Furnaces & Rolling & Finishing Mills","7"
"3724","Aircraft Engines & Engine Parts","7"
"5912","Retail-Drug Stores and Proprietary Stores","7"
"2320","Men's & Boys' Furnishgs, Work Clothg, & Allied Garments","7"
"7340","Services-To Dwellings & Other Buildings","7"
"3580","Refrigeration & Service Industry Machinery","7"
"2111","Cigarettes","7"
"8741","Services-Management Services","7"
"5712","Retail-Furniture Stores","7"
"6153","Short-Term Business Credit Institutions","7"
"3241","Cement, Hydraulic","7"
"3443","Fabricated Plate Work (Boiler Shops)","7"
"3713","Truck & Bus Bodies","7"
"4581","Airports, Flying Fields & Airport Terminal Services","7"
"7381","Services-Detective, Guard & Armored Car Services","7"
"4522","Air Transportation, Nonscheduled","7"
"3523","Farm Machinery & Equipment","6"
"3564","Industrial & Commercial Fans & Blowers & Air Purifing Equip","6"
"3350","Rolling Drawing & Extruding of  Nonferrous Metals","6"
"4011","Railroads, Line-Haul Operating","6"
"6795","Mineral Royalty Traders","6"
"2090","Miscellaneous Food Preparations & Kindred Products","6"
"7361","Services-Employment Agencies","6"
"2030","Canned, Frozen & Preservd Fruit, Veg & Food Specialties","6"
"8062","Services-General Medical & Surgical Hospitals, NEC","6"
"1540","General Bldg Contractors - Nonresidential Bldgs","6"
"3480","Ordnance & Accessories, (No Vehicles/Guided Missiles)","6"
"5200","Retail-Building Materials, Hardware, Garden Supply","6"
"5150","Wholesale-Farm Product Raw Materials","6"
"3630","Household Appliances","6"
"3743","Railroad Equipment","6"
"3440","Fabricated Structural Metal Products","6"
"1731","Electrical Work","6"
"3572","Computer Storage Devices","6"
"5080","Wholesale-Machinery, Equipment & Supplies","6"
"1382","Oil & Gas Field Exploration Services","6"
"4955","Hazardous Waste Management","6"
"6162","Mortgage Bankers & Loan Correspondents","6"
"5030","Wholesale-Lumber & Other Construction Materials","6"
"8093","Services-Specialty Outpatient Facilities, NEC","6"
"5940","Retail-Miscellaneous Shopping Goods Stores","6"
"5099","Wholesale-Durable Goods, NEC","6"
"6163","Loan Brokers","6"
"2070","Fats & Oils","5"
"2670","Converted Paper & Paperboard Prods (No Contaners/Boxes)","5"
"3140","Footwear, (No Rubber)","5"
"3540","Metalworkg Machinery & Equipment","5"
"3578","Calculating & Accounting Machines (No Electronic Computers)","5"
"7320","Services-Consumer Credit Reporting, Collection Agencies","5"
"2040","Grain Mill Products","5"
